#权限编码  权限状态  权限名称  权限描述 接口编码 接口状态 接口名称 接口描述 操作员ID
10101      1    账户余额信息查询       账户余额信息查询       10101    1   qry_spid_balance_info             账户余额信息查询     0000000000
10102      1    待结算金额信息查询     待结算金额信息查询     10102    1   qry_spid_settlementingamt_info    待结算金额信息查询   0000000000
10103      1    预存款金额信息查询     预存款金额信息查询     10103    1   qry_spid_prepay_amt_info          预存款金额信息查询     0000000000
10105      1    退款记录查询           退款记录查询           10105    1   b2b_qry_refund_list2              退款记录查询           0000000000
10106      1    余额账户收支明细查询   余额账户收支明细查询   10106    1   qry_balance_detail                余额账户收支明细查询   0000000000

10201      1    充值   		       充值                   10201    1   charge_gate                 充值                     0000000000
10301      1    提现                   提现                   10301    1   draw_submit                 提现申请                 0000000000
10301      1    提现                   提现                   1030101  1   draw_confirm                提现确认                 0000000000
10401      1    转账                   转账                   10401    1   inner_transfer_submit       转账申请                 0000000000
10401      1    转账                   转账                   1040101  1   inner_transfer_confirm      转账确认                 0000000000                  

10202      1    支付交易充值记录查询   支付交易充值记录查询   10202    1   b2b_qry_charge_order_list   支付交易充值记录查询     0000000000
1020201    1    支付交易充值记录下载   支付交易充值记录下载   1020201  1   b2b_qry_charge_order_list   支付交易充值记录下载     0000000000
10402      1    支付交易转账查询       支付交易转账查询       10402    1   b2b_qry_transfer_order_list 支付交易转账查询     0000000000
1040202    1    支付交易转账下载       支付交易转账下载       1040202  1   b2b_download_transfer_order_list  支付交易转账下载     0000000000
10302      1    提现交易查询           提现交易查询           10302    1   b2b_qry_draw_list                 提现交易查询     0000000000
1030201    1    提现交易下载           提现交易下载           1030201  1   b2b_download_draw_list            提现交易下载     0000000000

20101      1    支付交易网关查询       支付交易网关查询       20101    1   b2b_qry_pay_gate_order_list       支付交易网关查询     0000000000
2010101    1    支付交易网关下载       支付交易网关下载       2010101  1   b2b_download_pay_gate_order_list  支付交易网关下载     0000000000
20201      1    支付交易快捷查询       支付交易快捷查询       20201    1   b2b_qry_Qpay_order_list           支付交易快捷查询     0000000000
2020101    1    支付交易快捷下载       支付交易快捷下载       2020101  1   b2b_download_Qpay_order_list      支付交易快捷下载     0000000000
20601      1    支付交易收银台查询     支付交易收银台查询     20601    1   b2b_qry_cashier_order_list        支付交易收银台查询     0000000000
2060101    1    支付交易收银台下载     支付交易收银台下载     2060101  1   b2b_download_cashier_order_list   支付交易收银台下载     0000000000

20102      1    网关交易查询            网关交易查询          20102    1   b2b_qry_pay_gate_refund_list2      网关交易查询     0000000000   
2010201    1    网关交易下载            网关交易下载          2010201  1   b2b_download_pay_gate_refund_list2 网关交易下载     0000000000
2010102    1    网关交易退款申请        网关交易退款申请      2010102  1   b2b_pay_gate_refund_req            网关交易退款申请     0000000000

20202      1    快捷交易查询            快捷交易查询          20202    1   b2b_qry_Qpay_refund_list2          快捷交易查询     0000000000
2020201    1    快捷交易下载            快捷交易下载          2020201  1   b2b_download_Qpay_refund_list2     快捷交易下载     0000000000
2020102    1    快捷退款申请            快捷退款申请          2020102  1   b2b_Qpay_refund_req                快捷退款申请     0000000000

20602      1    收银台退款交易查询      收银台退款交易查询    20602    1   b2b_qry_cashier_refund_list2       收银台退款交易查询     0000000000
2060201    1    收银台退款交易下载      收银台退款交易下载    2060201  1   b2b_download_cashier_refund_list2  收银台退款交易下载     0000000000
2060102    1    收银台退款申请          收银台退款申请        2060102  1   b2b_cashier_refund_req             收银台退款申请         0000000000


20301      1    聚合支付交易记录查询   聚合支付交易记录查询   20301    1   unionpay_qry_pay_list     聚合支付交易记录查询     0000000000
